,source,target,value,color_nodes,label
0,0,10,0.21691785081004133,aliceblue,Life span
1,1,10,-0.07030841716771108,antiquewhite,Overweight
2,2,10,-0.5742057976931263,aqua,High Blood Glucose
3,3,10,-0.0510564159356327,aquamarine,High Blood Pressure
4,4,10,0.4901337324596136,azure,High Cholesterol
5,5,10,-0.17182191054887172,beige,NCD death probability
6,6,10,0.4102787456445993,bisque,Malignant neoplasms death
7,7,10,-0.05261324041811847,black,Diabetes mellitus death
8,8,10,0.27195121951219514,blanchedalmond,Cardiovascular diseases death
9,9,10,0.3550522648083624,blue,Chronic obstructive pulmonary disease death
10,0,11,0.1930481756606633,blueviolet,total_fat
11,1,11,0.024133124604034654,brown,sugar
12,2,11,-0.42374592114563336,dimgrey,sodium
13,3,11,-0.2959703838452974,dodgerblue,protein
14,4,11,0.4246199452556269,firebrick,sat_fat
15,5,11,-0.17530714200016728,floralwhite,carbs
16,6,11,0.2689895470383275,,
17,7,11,0.004703832752613241,,
18,8,11,0.03519163763066202,,
19,9,11,0.1132404181184669,,
20,0,12,0.0046171269449526865,,
21,1,12,-0.3772434279258847,,
22,2,12,-0.1828009044728231,,
23,3,12,0.1382705325765343,,
24,4,12,0.1496711255537889,,
25,5,12,0.05776771130522411,,
26,6,12,0.2940766550522648,,
27,7,12,0.10278745644599303,,
28,8,12,0.2865853658536585,,
29,9,12,0.23449477351916376,,
30,0,13,-0.0980050530768259,,
31,1,13,-0.23157344836651306,,
32,2,13,0.05404700084556525,,
33,3,13,0.2207797917762684,,
34,4,13,0.04512784810061853,,
35,5,13,0.1320902720041022,,
36,6,13,0.0445993031358885,,
37,7,13,0.2707317073170732,,
38,8,13,0.1402439024390244,,
39,9,13,0.20557491289198607,,
40,0,14,0.2507187046712044,,
41,1,14,-0.09374455622361476,,
42,2,14,-0.6950269963575674,,
43,3,14,-0.15552167652748186,,
44,4,14,0.5780372049181544,,
45,5,14,-0.2613052280608855,,
46,6,14,0.3740418118466899,,
47,7,14,-0.15557491289198605,,
48,8,14,0.1583623693379791,,
49,9,14,0.1837979094076655,,
50,0,15,0.2701454840810997,,
51,1,15,0.05793692368838645,,
52,2,15,-0.5307938518526562,,
53,3,15,-0.15465040663096935,,
54,4,15,0.5496362812100429,,
55,5,15,-0.29842294301718336,,
56,6,15,0.4139372822299652,,
57,7,15,-0.04111498257839721,,
58,8,15,0.18013937282229964,,
59,9,15,0.11289198606271778,,
