Location,Period,Indicator,Dim1,First Tooltip
Guinea-Bissau,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,10.87
Guinea-Bissau,2016,Healthy life expectancy (HALE) at age 60 (years),Male,10.21
Guinea-Bissau,2016,Healthy life expectancy (HALE) at age 60 (years),Female,11.41
Guyana,2016,Life expectancy at birth (years),Both sexes,66.19
Guyana,2016,Life expectancy at birth (years),Male,63.62
Guyana,2016,Life expectancy at birth (years),Female,69.01
Guyana,2016,Life expectancy at age 60 (years),Both sexes,16.77
Guyana,2016,Life expectancy at age 60 (years),Male,15.75
Guyana,2016,Life expectancy at age 60 (years),Female,17.77
Guyana,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,58.32
Guyana,2016,Healthy life expectancy (HALE) at birth (years),Male,56.45
Guyana,2016,Healthy life expectancy (HALE) at birth (years),Female,60.36
Guyana,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,12.95
Guyana,2016,Healthy life expectancy (HALE) at age 60 (years),Male,12.21
Guyana,2016,Healthy life expectancy (HALE) at age 60 (years),Female,13.67
Haiti,2016,Life expectancy at birth (years),Both sexes,63.51
Haiti,2016,Life expectancy at birth (years),Male,61.3
Haiti,2016,Life expectancy at birth (years),Female,65.74
Haiti,2016,Life expectancy at age 60 (years),Both sexes,17.68
Haiti,2016,Life expectancy at age 60 (years),Male,16.67
Haiti,2016,Life expectancy at age 60 (years),Female,18.6
Haiti,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,55.32
Haiti,2016,Healthy life expectancy (HALE) at birth (years),Male,53.9
Haiti,2016,Healthy life expectancy (HALE) at birth (years),Female,56.77
Haiti,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,13.17
Haiti,2016,Healthy life expectancy (HALE) at age 60 (years),Male,12.57
Haiti,2016,Healthy life expectancy (HALE) at age 60 (years),Female,13.72
Honduras,2016,Life expectancy at birth (years),Both sexes,75.17
Honduras,2016,Life expectancy at birth (years),Male,72.85
Honduras,2016,Life expectancy at birth (years),Female,77.49
Honduras,2016,Life expectancy at age 60 (years),Both sexes,22.39
Honduras,2016,Life expectancy at age 60 (years),Male,20.95
Honduras,2016,Life expectancy at age 60 (years),Female,23.73
Honduras,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.8
Honduras,2016,Healthy life expectancy (HALE) at birth (years),Male,65.12
Honduras,2016,Healthy life expectancy (HALE) at birth (years),Female,68.46
Honduras,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,17.13
Honduras,2016,Healthy life expectancy (HALE) at age 60 (years),Male,16.03
Honduras,2016,Healthy life expectancy (HALE) at age 60 (years),Female,18.15
Hungary,2016,Life expectancy at birth (years),Both sexes,75.98
Hungary,2016,Life expectancy at birth (years),Male,72.33
Hungary,2016,Life expectancy at birth (years),Female,79.42
Hungary,2016,Life expectancy at age 60 (years),Both sexes,20.12
Hungary,2016,Life expectancy at age 60 (years),Male,17.38
Hungary,2016,Life expectancy at age 60 (years),Female,22.35
Hungary,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.85
Hungary,2016,Healthy life expectancy (HALE) at birth (years),Male,64.09
Hungary,2016,Healthy life expectancy (HALE) at birth (years),Female,69.48
Hungary,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,15.05
Hungary,2016,Healthy life expectancy (HALE) at age 60 (years),Male,13.01
Hungary,2016,Healthy life expectancy (HALE) at age 60 (years),Female,16.73
Iceland,2016,Life expectancy at birth (years),Both sexes,82.4
Iceland,2016,Life expectancy at birth (years),Male,80.91
Iceland,2016,Life expectancy at birth (years),Female,83.86
Iceland,2016,Life expectancy at age 60 (years),Both sexes,24.66
Iceland,2016,Life expectancy at age 60 (years),Male,23.68
Iceland,2016,Life expectancy at age 60 (years),Female,25.58
Iceland,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,73.04
Iceland,2016,Healthy life expectancy (HALE) at birth (years),Male,72.32
Iceland,2016,Healthy life expectancy (HALE) at birth (years),Female,73.75
Iceland,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,19.65
Iceland,2016,Healthy life expectancy (HALE) at age 60 (years),Male,18.96
Iceland,2016,Healthy life expectancy (HALE) at age 60 (years),Female,20.28
India,2016,Life expectancy at birth (years),Both sexes,68.83
India,2016,Life expectancy at birth (years),Male,67.44
India,2016,Life expectancy at birth (years),Female,70.34
India,2016,Life expectancy at age 60 (years),Both sexes,18.02
India,2016,Life expectancy at age 60 (years),Male,17.24
India,2016,Life expectancy at age 60 (years),Female,18.8
India,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,59.25
India,2016,Healthy life expectancy (HALE) at birth (years),Male,58.69
India,2016,Healthy life expectancy (HALE) at birth (years),Female,59.86
India,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,12.93
India,2016,Healthy life expectancy (HALE) at age 60 (years),Male,12.52
India,2016,Healthy life expectancy (HALE) at age 60 (years),Female,13.34
Indonesia,2016,Life expectancy at birth (years),Both sexes,69.31
Indonesia,2016,Life expectancy at birth (years),Male,67.33
Indonesia,2016,Life expectancy at birth (years),Female,71.41
Indonesia,2016,Life expectancy at age 60 (years),Both sexes,16.66
Indonesia,2016,Life expectancy at age 60 (years),Male,15.36
Indonesia,2016,Life expectancy at age 60 (years),Female,17.96
Indonesia,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,61.66
Indonesia,2016,Healthy life expectancy (HALE) at birth (years),Male,60.41
Indonesia,2016,Healthy life expectancy (HALE) at birth (years),Female,63
Indonesia,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,12.68
Indonesia,2016,Healthy life expectancy (HALE) at age 60 (years),Male,11.79
Indonesia,2016,Healthy life expectancy (HALE) at age 60 (years),Female,13.58
Iran (Islamic Republic of),2016,Life expectancy at birth (years),Both sexes,75.71
Iran (Islamic Republic of),2016,Life expectancy at birth (years),Male,74.59
Iran (Islamic Republic of),2016,Life expectancy at birth (years),Female,76.93
Iran (Islamic Republic of),2016,Life expectancy at age 60 (years),Both sexes,19.71
Iran (Islamic Republic of),2016,Life expectancy at age 60 (years),Male,19.29
Iran (Islamic Republic of),2016,Life expectancy at age 60 (years),Female,20.18
Iran (Islamic Republic of),2016,Healthy life expectancy (HALE) at birth (years),Both sexes,65.4
Iran (Islamic Republic of),2016,Healthy life expectancy (HALE) at birth (years),Male,64.89
Iran (Islamic Republic of),2016,Healthy life expectancy (HALE) at birth (years),Female,65.93
Iran (Islamic Republic of),2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,14.73
Iran (Islamic Republic of),2016,Healthy life expectancy (HALE) at age 60 (years),Male,14.58
Iran (Islamic Republic of),2016,Healthy life expectancy (HALE) at age 60 (years),Female,14.9
Iraq,2016,Life expectancy at birth (years),Both sexes,69.85
Iraq,2016,Life expectancy at birth (years),Male,67.51
Iraq,2016,Life expectancy at birth (years),Female,72.25
Iraq,2016,Life expectancy at age 60 (years),Both sexes,18.81
Iraq,2016,Life expectancy at age 60 (years),Male,17.93
Iraq,2016,Life expectancy at age 60 (years),Female,19.6
Iraq,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,58.99
Iraq,2016,Healthy life expectancy (HALE) at birth (years),Male,57.39
Iraq,2016,Healthy life expectancy (HALE) at birth (years),Female,60.62
Iraq,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,13.16
Iraq,2016,Healthy life expectancy (HALE) at age 60 (years),Male,12.65
Iraq,2016,Healthy life expectancy (HALE) at age 60 (years),Female,13.63
Ireland,2016,Life expectancy at birth (years),Both sexes,81.54
Ireland,2016,Life expectancy at birth (years),Male,79.67
Ireland,2016,Life expectancy at birth (years),Female,83.38
Ireland,2016,Life expectancy at age 60 (years),Both sexes,24.09
Ireland,2016,Life expectancy at age 60 (years),Male,22.76
Ireland,2016,Life expectancy at age 60 (years),Female,25.35
Ireland,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,72.12
Ireland,2016,Healthy life expectancy (HALE) at birth (years),Male,71.11
Ireland,2016,Healthy life expectancy (HALE) at birth (years),Female,73.23
Ireland,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,19.17
Ireland,2016,Healthy life expectancy (HALE) at age 60 (years),Male,18.21
Ireland,2016,Healthy life expectancy (HALE) at age 60 (years),Female,20.08
Israel,2016,Life expectancy at birth (years),Both sexes,82.29
Israel,2016,Life expectancy at birth (years),Male,80.26
Israel,2016,Life expectancy at birth (years),Female,84.21
Israel,2016,Life expectancy at age 60 (years),Both sexes,24.74
Israel,2016,Life expectancy at age 60 (years),Male,23.27
Israel,2016,Life expectancy at age 60 (years),Female,26.05
Israel,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,72.94
Israel,2016,Healthy life expectancy (HALE) at birth (years),Male,71.67
Israel,2016,Healthy life expectancy (HALE) at birth (years),Female,74.11
Israel,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,19.57
Israel,2016,Healthy life expectancy (HALE) at age 60 (years),Male,18.48
Israel,2016,Healthy life expectancy (HALE) at age 60 (years),Female,20.53
Italy,2016,Life expectancy at birth (years),Both sexes,82.77
Italy,2016,Life expectancy at birth (years),Male,80.54
Italy,2016,Life expectancy at birth (years),Female,84.87
Italy,2016,Life expectancy at age 60 (years),Both sexes,25.04
Italy,2016,Life expectancy at age 60 (years),Male,23.24
Italy,2016,Life expectancy at age 60 (years),Female,26.63
Italy,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,73.17
Italy,2016,Healthy life expectancy (HALE) at birth (years),Male,71.97
Italy,2016,Healthy life expectancy (HALE) at birth (years),Female,74.34
Italy,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,19.85
Italy,2016,Healthy life expectancy (HALE) at age 60 (years),Male,18.59
Italy,2016,Healthy life expectancy (HALE) at age 60 (years),Female,20.98
Jamaica,2016,Life expectancy at birth (years),Both sexes,76
Jamaica,2016,Life expectancy at birth (years),Male,73.62
Jamaica,2016,Life expectancy at birth (years),Female,78.46
Jamaica,2016,Life expectancy at age 60 (years),Both sexes,22.5
Jamaica,2016,Life expectancy at age 60 (years),Male,21.3
Jamaica,2016,Life expectancy at age 60 (years),Female,23.67
Jamaica,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.89
Jamaica,2016,Healthy life expectancy (HALE) at birth (years),Male,65.32
Jamaica,2016,Healthy life expectancy (HALE) at birth (years),Female,68.53
Jamaica,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,17.48
Jamaica,2016,Healthy life expectancy (HALE) at age 60 (years),Male,16.66
Jamaica,2016,Healthy life expectancy (HALE) at age 60 (years),Female,18.29
Japan,2016,Life expectancy at birth (years),Both sexes,84.17
Japan,2016,Life expectancy at birth (years),Male,81.06
Japan,2016,Life expectancy at birth (years),Female,87.15
Japan,2016,Life expectancy at age 60 (years),Both sexes,26.39
Japan,2016,Life expectancy at age 60 (years),Male,23.67
Japan,2016,Life expectancy at age 60 (years),Female,28.87
Japan,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,74.81
Japan,2016,Healthy life expectancy (HALE) at birth (years),Male,72.6
Japan,2016,Healthy life expectancy (HALE) at birth (years),Female,76.9
Japan,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,20.91
Japan,2016,Healthy life expectancy (HALE) at age 60 (years),Male,18.7
Japan,2016,Healthy life expectancy (HALE) at age 60 (years),Female,22.93
Jordan,2016,Life expectancy at birth (years),Both sexes,74.28
Jordan,2016,Life expectancy at birth (years),Male,72.68
Jordan,2016,Life expectancy at birth (years),Female,75.98
Jordan,2016,Life expectancy at age 60 (years),Both sexes,19.26
Jordan,2016,Life expectancy at age 60 (years),Male,18.07
Jordan,2016,Life expectancy at age 60 (years),Female,20.49
Jordan,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.44
Jordan,2016,Healthy life expectancy (HALE) at birth (years),Male,65.43
Jordan,2016,Healthy life expectancy (HALE) at birth (years),Female,67.51
Jordan,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,15.41
Jordan,2016,Healthy life expectancy (HALE) at age 60 (years),Male,14.58
Jordan,2016,Healthy life expectancy (HALE) at age 60 (years),Female,16.27
Kazakhstan,2016,Life expectancy at birth (years),Both sexes,71.14
Kazakhstan,2016,Life expectancy at birth (years),Male,66.81
Kazakhstan,2016,Life expectancy at birth (years),Female,75.33
Kazakhstan,2016,Life expectancy at age 60 (years),Both sexes,17.67
Kazakhstan,2016,Life expectancy at age 60 (years),Male,15.04
Kazakhstan,2016,Life expectancy at age 60 (years),Female,19.71
Kazakhstan,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,63.36
Kazakhstan,2016,Healthy life expectancy (HALE) at birth (years),Male,59.9
Kazakhstan,2016,Healthy life expectancy (HALE) at birth (years),Female,66.69
Kazakhstan,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,13.91
Kazakhstan,2016,Healthy life expectancy (HALE) at age 60 (years),Male,11.88
Kazakhstan,2016,Healthy life expectancy (HALE) at age 60 (years),Female,15.48
Kenya,2016,Life expectancy at birth (years),Both sexes,66.68
Kenya,2016,Life expectancy at birth (years),Male,64.43
Kenya,2016,Life expectancy at birth (years),Female,68.93
Kenya,2016,Life expectancy at age 60 (years),Both sexes,18.63
Kenya,2016,Life expectancy at age 60 (years),Male,17.72
Kenya,2016,Life expectancy at age 60 (years),Female,19.43
Kenya,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,58.92
Kenya,2016,Healthy life expectancy (HALE) at birth (years),Male,57.04
Kenya,2016,Healthy life expectancy (HALE) at birth (years),Female,60.79
Kenya,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,14.23
Kenya,2016,Healthy life expectancy (HALE) at age 60 (years),Male,13.43
Kenya,2016,Healthy life expectancy (HALE) at age 60 (years),Female,14.94
Kiribati,2016,Life expectancy at birth (years),Both sexes,66.12
Kiribati,2016,Life expectancy at birth (years),Male,63.56
Kiribati,2016,Life expectancy at birth (years),Female,68.6
Kiribati,2016,Life expectancy at age 60 (years),Both sexes,16.87
Kiribati,2016,Life expectancy at age 60 (years),Male,15.58
Kiribati,2016,Life expectancy at age 60 (years),Female,17.92
Kiribati,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,57.75
Kiribati,2016,Healthy life expectancy (HALE) at birth (years),Male,56.02
Kiribati,2016,Healthy life expectancy (HALE) at birth (years),Female,59.43
Kiribati,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,12.5
Kiribati,2016,Healthy life expectancy (HALE) at age 60 (years),Male,11.66
Kiribati,2016,Healthy life expectancy (HALE) at age 60 (years),Female,13.19
Kuwait,2016,Life expectancy at birth (years),Both sexes,74.78
Kuwait,2016,Life expectancy at birth (years),Male,73.95
Kuwait,2016,Life expectancy at birth (years),Female,76.03
Kuwait,2016,Life expectancy at age 60 (years),Both sexes,17.89
Kuwait,2016,Life expectancy at age 60 (years),Male,17.57
Kuwait,2016,Life expectancy at age 60 (years),Female,18.38
Kuwait,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.33
Kuwait,2016,Healthy life expectancy (HALE) at birth (years),Male,66.31
Kuwait,2016,Healthy life expectancy (HALE) at birth (years),Female,66.24
Kuwait,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,14.09
Kuwait,2016,Healthy life expectancy (HALE) at age 60 (years),Male,14.17
Kuwait,2016,Healthy life expectancy (HALE) at age 60 (years),Female,13.88
Kyrgyzstan,2016,Life expectancy at birth (years),Both sexes,71.4
Kyrgyzstan,2016,Life expectancy at birth (years),Male,67.67
Kyrgyzstan,2016,Life expectancy at birth (years),Female,75.16
Kyrgyzstan,2016,Life expectancy at age 60 (years),Both sexes,18.03
Kyrgyzstan,2016,Life expectancy at age 60 (years),Male,15.78
Kyrgyzstan,2016,Life expectancy at age 60 (years),Female,19.97
Kyrgyzstan,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,63.54
Kyrgyzstan,2016,Healthy life expectancy (HALE) at birth (years),Male,60.71
Kyrgyzstan,2016,Healthy life expectancy (HALE) at birth (years),Female,66.38
Kyrgyzstan,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,14.21
Kyrgyzstan,2016,Healthy life expectancy (HALE) at age 60 (years),Male,12.54
Kyrgyzstan,2016,Healthy life expectancy (HALE) at age 60 (years),Female,15.64
Lao People's Democratic Republic,2016,Life expectancy at birth (years),Both sexes,65.79
Lao People's Democratic Republic,2016,Life expectancy at birth (years),Male,64.19
Lao People's Democratic Republic,2016,Life expectancy at birth (years),Female,67.38
Lao People's Democratic Republic,2016,Life expectancy at age 60 (years),Both sexes,16.83
Lao People's Democratic Republic,2016,Life expectancy at age 60 (years),Male,15.92
Lao People's Democratic Republic,2016,Life expectancy at age 60 (years),Female,17.65
Lao People's Democratic Republic,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,57.86
Lao People's Democratic Republic,2016,Healthy life expectancy (HALE) at birth (years),Male,56.93
Lao People's Democratic Republic,2016,Healthy life expectancy (HALE) at birth (years),Female,58.79
Lao People's Democratic Republic,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,12.3
Lao People's Democratic Republic,2016,Healthy life expectancy (HALE) at age 60 (years),Male,11.78
Lao People's Democratic Republic,2016,Healthy life expectancy (HALE) at age 60 (years),Female,12.76
Latvia,2016,Life expectancy at birth (years),Both sexes,74.99
Latvia,2016,Life expectancy at birth (years),Male,70.03
Latvia,2016,Life expectancy at birth (years),Female,79.57
Latvia,2016,Life expectancy at age 60 (years),Both sexes,20.65
Latvia,2016,Life expectancy at age 60 (years),Male,17.32
Latvia,2016,Life expectancy at age 60 (years),Female,23.07
Latvia,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.17
Latvia,2016,Healthy life expectancy (HALE) at birth (years),Male,62.38
Latvia,2016,Healthy life expectancy (HALE) at birth (years),Female,69.46
Latvia,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,15.77
Latvia,2016,Healthy life expectancy (HALE) at age 60 (years),Male,13.27
Latvia,2016,Healthy life expectancy (HALE) at age 60 (years),Female,17.59
Lebanon,2016,Life expectancy at birth (years),Both sexes,76.28
Lebanon,2016,Life expectancy at birth (years),Male,75.06
Lebanon,2016,Life expectancy at birth (years),Female,77.67
Lebanon,2016,Life expectancy at age 60 (years),Both sexes,19.84
Lebanon,2016,Life expectancy at age 60 (years),Male,18.79
Lebanon,2016,Life expectancy at age 60 (years),Female,20.99
Lebanon,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.08
Lebanon,2016,Healthy life expectancy (HALE) at birth (years),Male,65.52
Lebanon,2016,Healthy life expectancy (HALE) at birth (years),Female,66.76
Lebanon,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,14.83
Lebanon,2016,Healthy life expectancy (HALE) at age 60 (years),Male,14.15
Lebanon,2016,Healthy life expectancy (HALE) at age 60 (years),Female,15.56
Lesotho,2016,Life expectancy at birth (years),Both sexes,52.94
Lesotho,2016,Life expectancy at birth (years),Male,51
Lesotho,2016,Life expectancy at birth (years),Female,54.57
Lesotho,2016,Life expectancy at age 60 (years),Both sexes,15.26
Lesotho,2016,Life expectancy at age 60 (years),Male,14.15
Lesotho,2016,Life expectancy at age 60 (years),Female,16.08
Lesotho,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,46.58
Lesotho,2016,Healthy life expectancy (HALE) at birth (years),Male,44.99
Lesotho,2016,Healthy life expectancy (HALE) at birth (years),Female,47.9
Lesotho,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,11.74
Lesotho,2016,Healthy life expectancy (HALE) at age 60 (years),Male,10.93
Lesotho,2016,Healthy life expectancy (HALE) at age 60 (years),Female,12.32
Liberia,2016,Life expectancy at birth (years),Both sexes,62.94
Liberia,2016,Life expectancy at birth (years),Male,61.98
Liberia,2016,Life expectancy at birth (years),Female,63.9
Liberia,2016,Life expectancy at age 60 (years),Both sexes,15.79
Liberia,2016,Life expectancy at age 60 (years),Male,15.25
Liberia,2016,Life expectancy at age 60 (years),Female,16.28
Liberia,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,54.51
Liberia,2016,Healthy life expectancy (HALE) at birth (years),Male,53.92
Liberia,2016,Healthy life expectancy (HALE) at birth (years),Female,55.09
Liberia,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,11.79
Liberia,2016,Healthy life expectancy (HALE) at age 60 (years),Male,11.38
Liberia,2016,Healthy life expectancy (HALE) at age 60 (years),Female,12.17
Libya,2016,Life expectancy at birth (years),Both sexes,71.91
Libya,2016,Life expectancy at birth (years),Male,69.04
Libya,2016,Life expectancy at birth (years),Female,75.05
Libya,2016,Life expectancy at age 60 (years),Both sexes,18.33
Libya,2016,Life expectancy at age 60 (years),Male,16.84
Libya,2016,Life expectancy at age 60 (years),Female,19.84
Libya,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,62.25
Libya,2016,Healthy life expectancy (HALE) at birth (years),Male,60.48
Libya,2016,Healthy life expectancy (HALE) at birth (years),Female,64.17
Libya,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,13.35
Libya,2016,Healthy life expectancy (HALE) at age 60 (years),Male,12.49
Libya,2016,Healthy life expectancy (HALE) at age 60 (years),Female,14.22
Lithuania,2016,Life expectancy at birth (years),Both sexes,75.04
Lithuania,2016,Life expectancy at birth (years),Male,69.68
Lithuania,2016,Life expectancy at birth (years),Female,80.17
Lithuania,2016,Life expectancy at age 60 (years),Both sexes,20.68
Lithuania,2016,Life expectancy at age 60 (years),Male,17.07
Lithuania,2016,Life expectancy at age 60 (years),Female,23.44
Lithuania,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.07
Lithuania,2016,Healthy life expectancy (HALE) at birth (years),Male,61.94
Lithuania,2016,Healthy life expectancy (HALE) at birth (years),Female,70.02
Lithuania,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,15.76
Lithuania,2016,Healthy life expectancy (HALE) at age 60 (years),Male,12.99
Lithuania,2016,Healthy life expectancy (HALE) at age 60 (years),Female,17.89
Luxembourg,2016,Life expectancy at birth (years),Both sexes,82.4
Luxembourg,2016,Life expectancy at birth (years),Male,80.12
Luxembourg,2016,Life expectancy at birth (years),Female,84.62
Luxembourg,2016,Life expectancy at age 60 (years),Both sexes,24.69
Luxembourg,2016,Life expectancy at age 60 (years),Male,22.9
Luxembourg,2016,Life expectancy at age 60 (years),Female,26.32
Luxembourg,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,72.56
Luxembourg,2016,Healthy life expectancy (HALE) at birth (years),Male,71.09
Luxembourg,2016,Healthy life expectancy (HALE) at birth (years),Female,73.74
Luxembourg,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,19.27
Luxembourg,2016,Healthy life expectancy (HALE) at age 60 (years),Male,17.94
Luxembourg,2016,Healthy life expectancy (HALE) at age 60 (years),Female,20.47
Madagascar,2016,Life expectancy at birth (years),Both sexes,66.09
Madagascar,2016,Life expectancy at birth (years),Male,64.55
Madagascar,2016,Life expectancy at birth (years),Female,67.63
Madagascar,2016,Life expectancy at age 60 (years),Both sexes,17.06
Madagascar,2016,Life expectancy at age 60 (years),Male,16.38
Madagascar,2016,Life expectancy at age 60 (years),Female,17.69
Madagascar,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,58.33
Madagascar,2016,Healthy life expectancy (HALE) at birth (years),Male,57.12
Madagascar,2016,Healthy life expectancy (HALE) at birth (years),Female,59.55
Madagascar,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,13.11
Madagascar,2016,Healthy life expectancy (HALE) at age 60 (years),Male,12.57
Madagascar,2016,Healthy life expectancy (HALE) at age 60 (years),Female,13.6
Malawi,2016,Life expectancy at birth (years),Both sexes,64.17
Malawi,2016,Life expectancy at birth (years),Male,61.41
Malawi,2016,Life expectancy at birth (years),Female,66.84
Malawi,2016,Life expectancy at age 60 (years),Both sexes,17.38
Malawi,2016,Life expectancy at age 60 (years),Male,16.03
Malawi,2016,Life expectancy at age 60 (years),Female,18.5
Malawi,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,56.2
Malawi,2016,Healthy life expectancy (HALE) at birth (years),Male,53.88
Malawi,2016,Healthy life expectancy (HALE) at birth (years),Female,58.42
Malawi,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,12.82
Malawi,2016,Healthy life expectancy (HALE) at age 60 (years),Male,11.69
Malawi,2016,Healthy life expectancy (HALE) at age 60 (years),Female,13.74
Malaysia,2016,Life expectancy at birth (years),Both sexes,75.28
Malaysia,2016,Life expectancy at birth (years),Male,73.19
Malaysia,2016,Life expectancy at birth (years),Female,77.62
Malaysia,2016,Life expectancy at age 60 (years),Both sexes,19.93
Malaysia,2016,Life expectancy at age 60 (years),Male,18.86
Malaysia,2016,Life expectancy at age 60 (years),Female,21.06
Malaysia,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,66.62
Malaysia,2016,Healthy life expectancy (HALE) at birth (years),Male,65.3
Malaysia,2016,Healthy life expectancy (HALE) at birth (years),Female,68.12
Malaysia,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,15.23
Malaysia,2016,Healthy life expectancy (HALE) at age 60 (years),Male,14.33
Malaysia,2016,Healthy life expectancy (HALE) at age 60 (years),Female,16.18
Maldives,2016,Life expectancy at birth (years),Both sexes,78.42
Maldives,2016,Life expectancy at birth (years),Male,77.21
Maldives,2016,Life expectancy at birth (years),Female,79.87
Maldives,2016,Life expectancy at age 60 (years),Both sexes,21.01
Maldives,2016,Life expectancy at age 60 (years),Male,20.1
Maldives,2016,Life expectancy at age 60 (years),Female,22.07
Maldives,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,69.76
Maldives,2016,Healthy life expectancy (HALE) at birth (years),Male,69.66
Maldives,2016,Healthy life expectancy (HALE) at birth (years),Female,69.75
Maldives,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,16.1
Maldives,2016,Healthy life expectancy (HALE) at age 60 (years),Male,15.59
Maldives,2016,Healthy life expectancy (HALE) at age 60 (years),Female,16.68
Mali,2016,Life expectancy at birth (years),Both sexes,57.95
Mali,2016,Life expectancy at birth (years),Male,57.49
Mali,2016,Life expectancy at birth (years),Female,58.39
Mali,2016,Life expectancy at age 60 (years),Both sexes,15.38
Mali,2016,Life expectancy at age 60 (years),Male,15.26
Mali,2016,Life expectancy at age 60 (years),Female,15.48
Mali,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,50.7
Mali,2016,Healthy life expectancy (HALE) at birth (years),Male,50.37
Mali,2016,Healthy life expectancy (HALE) at birth (years),Female,51.01
Mali,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,11.5
Mali,2016,Healthy life expectancy (HALE) at age 60 (years),Male,11.36
Mali,2016,Healthy life expectancy (HALE) at age 60 (years),Female,11.61
Malta,2016,Life expectancy at birth (years),Both sexes,81.5
Malta,2016,Life expectancy at birth (years),Male,79.62
Malta,2016,Life expectancy at birth (years),Female,83.33
Malta,2016,Life expectancy at age 60 (years),Both sexes,23.92
Malta,2016,Life expectancy at age 60 (years),Male,22.51
Malta,2016,Life expectancy at age 60 (years),Female,25.21
Malta,2016,Healthy life expectancy (HALE) at birth (years),Both sexes,72.21
Malta,2016,Healthy life expectancy (HALE) at birth (years),Male,71.3
Malta,2016,Healthy life expectancy (HALE) at birth (years),Female,73.29
Malta,2016,Healthy life expectancy (HALE) at age 60 (years),Both sexes,18.98
Malta,2016,Healthy life expectancy (HALE) at age 60 (years),Male,17.94
Malta,2016,Healthy life expectancy (HALE) at age 60 (years),Female,19.93
Mauritania,2016,Life expectancy at birth (years),Both sexes,63.94
Mauritania,2016,Life expectancy at birth (years),Male,62.63
