,0,China0,China1,China2,France0,France1,France2,Italy0,Italy1,Italy2,Japan0,Japan1,Japan2,Poland0,Poland1,Poland2,Portugal0,Portugal1,Portugal2,Russia0,Russia1,Russia2,South Korea0,South Korea1,South Korea2,Switzerland0,Switzerland1,Switzerland2,Vietnam0,Vietnam1,Vietnam2
53,0.0,31.170078,-11.312906,-0.85461,-19.710972,14.541411,12.6900215,-45.340782,-9.414119,-1.8185198,26.13546,-20.966728,-2.8326218,-28.973621,3.8092022,-33.852577,-4.387026,-7.9494905,3.4379113,-14.810125,-1.5658654,-27.600285,9.249201,18.7586,-23.822636,-42.8457,0.06417396,10.565829,-9.802211,-5.0027857,-33.509117
54,0.0,25.83626,-18.819231,4.9225383,-8.976967,12.433354,36.3903,6.464863,-26.548775,-15.116437,-1.7784529,11.333898,4.400503,-15.345469,-23.179352,-4.020008,-8.191978,10.582033,9.496773,13.341626,21.642065,10.663411,0.67890805,6.7320294,-23.363106,-40.985188,-0.29715863,0.64001715,-3.8959277,-7.6988273,-33.909115
55,0.0,18.171103,-24.169432,23.584227,8.922446,-26.571756,18.582878,14.338252,-21.82013,4.049564,2.6796432,20.292557,4.5689692,0.3407884,-8.357504,-5.9689198,-12.416457,-24.078392,-10.255421,-3.9640503,18.429996,-20.825012,-0.54799837,15.019813,-33.78575,-6.6094823,-13.6465435,17.357645,-12.184839,2.7553847,-25.692543
56,0.0,7.2831535,34.840004,-1.016994,-12.761913,-5.4606776,-20.954723,-19.675932,9.691188,-5.597689,-44.305656,4.1615734,21.006859,6.7460213,-28.048618,-1.8707622,11.966685,9.325292,14.351591,48.857918,2.0641508,18.216509,6.1879525,2.6824172,-7.139491,-46.06517,-13.119818,0.9857938,24.470896,-5.9122977,-1.8655261
57,0.0,28.939955,-4.1339793,-12.423124,0.97703356,1.1631963,23.033644,20.6124,-2.5529134,30.973654,-15.001261,7.631184,-22.436117,22.447569,-2.298126,-27.907751,-0.63073206,-10.762331,-18.269201,-26.507633,-3.73541,-11.052148,-53.854763,-4.397687,-10.18243,1.5774286,11.214818,33.970905,21.734133,7.546737,-6.762393
58,0.0,44.657986,-6.724471,7.4373193,-16.61344,-30.269426,1.705209,5.0614223,-26.051197,-16.585135,18.772226,20.724684,-29.089235,-47.504837,7.3324814,-18.534727,-9.697792,20.213476,-20.796532,-48.40375,-9.135753,-4.069435,-5.9226356,10.135425,-27.186874,2.0570986,14.220093,32.90692,29.589344,11.073742,-7.10262
59,0.0,23.936895,3.0295215,22.90479,-27.57406,4.1883307,22.33879,34.41478,-25.803812,6.3610563,10.727842,18.996607,21.508097,2.1550705,-40.928,-0.86962044,-55.021633,2.0573516,-3.5096278,-51.745182,4.219626,-0.7869805,-5.0070515,17.91428,-13.552318,-1.4435987,17.076426,-19.973621,29.741821,10.725121,-9.268999
60,0.0,15.731909,-15.596474,0.120339245,-15.644152,9.170412,-29.47753,6.815053,-10.967457,29.999344,32.220844,7.265817,-1.6065564,5.866318,-36.381832,2.5157866,21.298344,3.8918853,11.516844,-26.741182,-9.917566,-6.7233896,-14.499815,6.5430546,-35.47648,1.5057038,15.764633,34.154274,24.084867,7.954651,-8.432052
61,0.0,18.70192,-11.5516615,-1.4815327,-11.253389,13.754034,-10.03533,-22.002386,-6.855351,-12.926693,13.132481,-20.752872,6.6861057,-14.384426,-23.46157,-3.0424778,6.7038064,-22.628778,22.053827,53.749096,0.5656243,16.377237,32.266357,-0.47148803,-9.81474,-3.211718,9.156639,29.098185,-7.368792,13.682227,-28.665329
62,0.0,21.302242,30.115765,12.132715,5.0216165,13.438087,17.927418,-20.279343,-5.4729786,-13.715475,29.594126,4.723642,21.395037,4.0642457,-41.336784,3.4862206,-43.75169,-6.03619,19.577688,-31.00934,9.500947,-5.6499367,14.381616,19.39377,-26.70393,26.36777,6.6220965,13.322508,-31.06386,5.1875353,-20.120327
63,0.0,10.161477,38.920143,-9.461893,4.8079624,12.084589,-24.217754,18.890862,-14.939361,29.454428,-37.36402,6.3301506,0.38013068,9.853785,-41.92291,0.9629904,12.697502,-0.73725665,-4.8677607,-18.571291,7.0864463,-28.832382,8.859994,14.089303,-20.044167,-29.172014,5.146044,6.124858,25.24503,1.0067692,11.30596
64,0.0,27.391554,7.2058167,22.680672,-18.288351,4.9703274,28.607365,17.363098,-7.8506517,25.105003,-15.817859,-4.544426,-2.9691007,-3.1515641,-36.529026,2.0349424,16.869534,-1.9021763,20.847305,-13.962648,26.67433,11.210833,6.2286997,-0.605685,-39.10866,-6.2804475,-7.7356453,12.563734,-23.948372,-9.031097,-22.127161
65,0.0,33.74544,-19.581497,2.2034829,-1.7508262,-10.092942,-20.417286,8.161016,-19.468645,-1.8146958,-4.962668,27.34156,2.0103436,-35.05208,0.41918427,-9.18796,21.176146,-7.103339,23.074728,-7.8066125,6.7261405,-21.802422,4.5493608,0.05365694,-37.18943,-20.84318,-0.6477119,25.746439,-16.174097,1.4498221,-38.184647
66,0.0,-14.260155,7.3423624,-2.2411044,11.91173,-21.888514,7.5581527,12.902265,-19.543947,-4.9138184,32.163136,1.6803015,-4.2530885,14.263889,5.3658137,2.119468,-6.410212,8.104129,-37.54086,5.503396,-8.966054,-2.1597035,10.0543585,-3.2775972,-29.301296,-1.3980753,-19.882515,34.47255,34.569107,14.626123,16.7856
67,0.0,-16.589489,12.041397,-6.974861,-20.748867,-8.413212,-15.460523,-20.759268,-2.1180272,-23.552298,11.5794325,37.512917,-11.15128,4.200877,-40.131615,-2.0562184,-14.585212,9.907692,7.460635,-27.40806,3.4708385,-11.625614,1.3954862,9.425024,-12.805114,-4.6146007,16.113037,20.632652,26.98595,1.78826,14.712416
68,0.0,-54.52727,2.381913,-13.073063,-20.389887,-1.8587323,16.568434,11.086098,-13.680629,14.974093,25.959873,-2.3313522,18.933428,-8.054685,-19.077555,24.487804,10.586762,-11.010202,4.166478,25.676514,-7.9570646,20.798475,12.783737,17.826479,-32.78175,-51.093735,-0.42490545,-4.1758547,5.3288627,28.938663,1.3549002
69,0.0,53.574345,-0.4417131,12.35114,-24.168367,-4.3207808,17.57065,-42.735615,3.6818433,-17.34707,4.8560023,22.962534,3.6898882,5.1117215,2.4017634,9.632585,-1.2842184,-16.74391,-4.0684943,-41.826656,-6.1409726,-2.195115,2.4910448,0.25323257,-11.6800585,-20.820496,-9.769294,-27.200394,1.1832983,28.787292,-3.5457647
70,0.0,-27.010805,2.377484,20.24945,-43.060955,-3.3682485,18.226364,33.955,15.770521,5.5068665,1.8943007,18.374096,3.0299919,-49.93493,9.868709,-17.758812,-19.562572,9.402616,-22.67188,-36.413612,-1.485297,13.578044,27.190773,12.470962,22.221987,-21.605906,-8.433916,-27.206898,5.8763785,31.86783,-4.946196
71,0.0,52.407898,-4.7839675,3.0606318,-42.959045,-4.013617,15.114554,-30.384796,6.154384,-3.7771237,0.4701515,25.849655,2.55272,-8.603411,25.967577,-25.857075,-21.179052,21.178644,6.8583775,-4.234617,-6.752331,-13.476397,21.951681,-16.624054,-5.2628126,-2.0724669,2.3068876,21.095053,17.626457,-14.518782,16.099522
72,0.0,16.763111,13.520199,-26.46706,26.3835,11.981827,11.275358,-34.68639,-0.3543155,21.752592,0.84396625,26.62084,5.371589,-50.267532,8.434912,-18.423695,-5.694109,-21.28407,-1.7641095,12.757583,-0.8043559,-2.7599869,11.089897,8.678416,9.293574,23.629717,8.360297,15.446755,48.008015,-7.878196,21.919874
73,0.0,2.038367,11.299734,-37.09229,47.461647,-3.0299833,14.641794,33.712368,-21.887571,3.2614832,-26.098457,-25.057257,15.983162,17.24998,13.88459,9.514697,-38.941822,-2.8140793,13.900631,0.6388947,-8.136318,6.690619,18.425465,-4.7704167,-13.496897,24.907137,4.713583,12.247652,0.31277898,0.16257869,-39.435158
74,0.0,48.223248,-4.9087334,12.16617,-52.654068,0.7165739,-1.764207,-19.276442,-15.336324,-2.9001555,-24.542233,4.28239,-18.731585,2.3035734,14.103594,20.967127,11.877576,17.3326,19.48118,40.638973,-5.8297195,16.006153,2.6510441,-37.025566,1.3147955,-52.3268,-3.5492983,-20.040894,12.053467,28.718826,-9.78996
75,0.0,-29.612684,-8.578518,20.911554,-15.878025,-1.7491332,11.678688,-19.279417,-16.474464,-3.8870833,-18.17413,4.829276,17.127815,-8.278998,-21.39545,-12.175694,12.545999,-2.744052,-0.40692106,-15.159572,4.8697395,5.796578,-1.5072159,1.302398,-1.0453982,-45.862896,-0.1401449,-4.866336,0.99806595,-12.315431,-34.740242
76,0.0,-17.493774,-32.431538,-0.86343586,-25.789051,-3.2221243,3.6487422,30.730038,-10.022914,32.286755,5.0248756,-1.6030737,-27.04463,22.367931,8.215315,-0.38149038,-19.220129,9.848244,-13.12719,-14.093709,13.376365,27.631681,-7.372749,-24.561646,7.183897,-46.89398,-5.60209,-4.993549,4.004641,-11.598513,-35.475445
77,0.0,-5.4188952,9.301881,20.20991,-46.39336,-14.265622,-2.7891588,48.65293,2.1364555,14.295386,-2.545652,23.09176,2.9656906,-22.393795,-9.809072,-11.136618,-43.64939,-4.1498966,-7.3270993,23.572794,14.389016,-17.406128,-5.218812,-32.228226,-2.6455567,-3.8573098,-16.051338,25.392017,-19.71048,5.788644,-36.474045
78,0.0,43.83237,-8.21366,9.15883,-41.445286,7.37817,-3.1149986,-16.370024,-14.897657,24.289799,-13.491674,10.29842,23.731754,-7.1634383,-0.674241,1.6815083,-18.57007,-10.977338,-22.451986,12.872065,19.126812,17.942728,-7.9019785,11.014074,-29.047045,-39.880634,-5.7261324,-3.7477446,49.14379,-0.9924841,8.866422
