,0,source,target,value,color_nodes,label
132,0.0,15,20,0.0,,
133,0.0,15,21,106.89655172413796,,
134,0.0,15,22,127.77777777777774,,
135,0.0,15,23,0.0,,
136,0.0,15,24,117.87079486203933,,
137,0.0,15,25,0.0,,
138,0.0,15,26,137.4886828889707,,
139,0.0,15,27,0.0,,
140,0.0,16,18,176.63671373555852,,
141,0.0,16,19,136.86868686868686,,
142,0.0,16,20,0.0,,
143,0.0,16,21,0.0,,
144,0.0,16,22,179.16666666666669,,
145,0.0,16,23,0.0,,
146,0.0,16,24,0.0,,
147,0.0,16,25,0.0,,
148,0.0,16,26,0.0,,
149,0.0,16,27,0.0,,
150,0.0,17,18,0.0,,
151,0.0,17,19,200.0,,
152,0.0,17,20,200.0,,
153,0.0,17,21,141.37931034482762,,
154,0.0,17,22,0.0,,
155,0.0,17,23,179.0697674418605,,
156,0.0,17,24,0.0,,
157,0.0,17,25,127.16425830046134,,
158,0.0,17,26,0.0,,
159,0.0,17,27,0.0,,
